url,page_type,cidade,title_current,title_length,title_mobile_length,title_issues,meta_current,meta_length,meta_mobile_length,meta_issues,total_issues,status
anapolis-go/aluguel-de-empilhadeira-combustao/index.html,aluguel,Anapolis,Aluguel de Empilhadeira a Combustão em Anápolis | Movemáquinas,62,50,Marca 'Clark' ausente (recomendado para diferencial),"Empilhadeira a combustão para locação em Anápolis: GLP e diesel Clark de 2.000 a 8.000 kg. DAIA, Porto Seco, distribuição. Entrega via BR-153, manutenção inclusa.",162,120,"Meta muito longa (162 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",4,⚠️ 4 issue(s)
anapolis-go/aluguel-de-plataforma-elevatoria-articulada/index.html,aluguel,Anapolis,Aluguel de Plataforma Elevatória Articulada em Anápolis | Movemáquinas,70,50,Marca 'Clark' ausente (recomendado para diferencial),"Plataforma articulada para locação em Anápolis valor sob consulta. Modelos de 12 e 15m para manutenção de galpões no DAIA, fábricas farmacêuticas e obras industriais. Entrega em 24h via BR-153. Movemáquinas: distribuidor Clark autorizado.",238,120,"Meta muito longa (238 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",3,⚠️ 3 issue(s)
anapolis-go/aluguel-de-plataforma-elevatoria-tesoura/index.html,aluguel,Anapolis,Aluguel de Plataforma Elevatória Tesoura em Anápolis | Movemáquinas,67,50,Marca 'Clark' ausente (recomendado para diferencial),"Plataforma tesoura para locação em Anápolis: elétrica para fábricas do DAIA (zero emissão, Anvisa) e diesel para pátios industriais. 8 a 15m, entrega via BR-153 em 24h.",168,120,"Meta muito longa (168 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",4,⚠️ 4 issue(s)
anapolis-go/aluguel-de-transpaleteira/index.html,aluguel,Anapolis,Aluguel de Transpaleteira Elétrica em Anápolis | Movemáquinas,61,50,Marca 'Clark' ausente (recomendado para diferencial),"Transpaleteira elétrica Clark para locação em Anápolis: lítio 24V para câmaras frias do DAIA, patolada para Porto Seco. 5 modelos, entrega BR-153, manutenção inclusa.",166,120,"Meta muito longa (166 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",4,⚠️ 4 issue(s)
anapolis-go/curso-de-operador-de-empilhadeira/index.html,curso,Anapolis,Curso de Operador de Empilhadeira NR-11 em Anápolis | Movemáquinas,66,50,Marca 'Clark' ausente (recomendado para diferencial),"Curso de operador de empilhadeira NR-11 em Anápolis: certificação nacional, aulas práticas e teóricas. In-company no DAIA. +4.000 operadores formados. Movemáquinas.",164,120,"Meta muito longa (164 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",4,⚠️ 4 issue(s)
anapolis-go/index.html,other,Move Maquinas Seo,Aluguel de Equipamentos em Anápolis | Movemáquinas,50,50,✅,"Locação de empilhadeiras, plataformas elevatórias e transpaleteiras em Anápolis, GO. Frota Clark, manutenção inclusa, entrega rápida. Movemáquinas.",147,120,✅,0,✅ OK
anapolis-go/manutencao-empilhadeira/index.html,manutencao,Anapolis,Manutenção de Empilhadeira em Anápolis | Preventiva e Corretiva Clark | Movemáquinas,84,50,"Title muito longo (84 chars, ideal <70)","Manutenção preventiva e corretiva de empilhadeira em Anápolis. Técnicos certificados Clark, atendimento in loco, plano de revisões. Movemáquinas: +20 anos no mercado.",166,120,"Meta muito longa (166 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",3,⚠️ 3 issue(s)
anapolis-go/pecas-e-assistencia-empilhadeira/index.html,pecas,Anapolis,Peças para Empilhadeira em Anápolis | Assistência Clark | Movemáquinas,70,50,✅,"Peças originais Clark e assistência técnica para empilhadeira em Anápolis. Garfos, mastro, hidráulico, motor. Entrega rápida, técnicos certificados. Movemáquinas: +20 anos de mercado.",183,120,"Meta muito longa (183 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",2,⚠️ 2 issue(s)
aparecida-de-goiania-go/aluguel-de-empilhadeira-combustao/index.html,aluguel,Aparecida Deiania,Aluguel de Empilhadeira Combustão em Aparecida de Goiânia | Move Máquinas,73,50,"Title muito longo (73 chars, ideal <70); Marca 'Clark' ausente (recomendado para diferencial)",,0,0,"CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile; Localidade ausente (adicione cidade)",5,⚠️ 5 issue(s)
aparecida-de-goiania-go/aluguel-de-plataforma-elevatoria-articulada/index.html,aluguel,Aparecida Deiania,Aluguel de Plataforma Articulada em Aparecida de Goiânia | Move Máquinas,72,50,"Title muito longo (72 chars, ideal <70); Marca 'Clark' ausente (recomendado para diferencial)",,0,0,"CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile; Localidade ausente (adicione cidade)",5,⚠️ 5 issue(s)
aparecida-de-goiania-go/aluguel-de-plataforma-elevatoria-tesoura/index.html,aluguel,Aparecida Deiania,Aluguel de Plataforma Tesoura em Aparecida de Goiânia | Move Máquinas,69,50,Marca 'Clark' ausente (recomendado para diferencial),,0,0,"CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile; Localidade ausente (adicione cidade)",4,⚠️ 4 issue(s)
aparecida-de-goiania-go/aluguel-de-transpaleteira/index.html,aluguel,Aparecida Deiania,Aluguel de Transpaleteira Elétrica em Aparecida de Goiânia | Move Máquinas,74,50,"Title muito longo (74 chars, ideal <70); Marca 'Clark' ausente (recomendado para diferencial)",,0,0,"CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile; Localidade ausente (adicione cidade)",5,⚠️ 5 issue(s)
aparecida-de-goiania-go/curso-de-operador-de-empilhadeira/index.html,curso,Aparecida Deiania,Curso de Operador de Empilhadeira NR-11 em Aparecida de Goiânia | Move Máquinas,79,50,"Title muito longo (79 chars, ideal <70); Marca 'Clark' ausente (recomendado para diferencial)",,0,0,"CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile; Localidade ausente (adicione cidade)",5,⚠️ 5 issue(s)
aparecida-de-goiania-go/index.html,other,Move Maquinas Seo,Aluguel de Equipamentos em Aparecida de Goiânia | Movemáquinas,62,50,✅,"Locação de empilhadeiras, plataformas elevatórias e transpaleteiras em Aparecida de Goiânia, GO. Frota Clark, manutenção inclusa, entrega rápida. Movemáquinas.",159,120,✅,0,✅ OK
aparecida-de-goiania-go/manutencao-empilhadeira/index.html,manutencao,Aparecida Deiania,Manutenção de Empilhadeira em Aparecida de Goiânia | Preventiva e Corretiva Clark | Movemáquinas,96,50,"Title muito longo (96 chars, ideal <70)","Manutenção preventiva e corretiva de empilhadeira em Aparecida de Goiânia. Técnicos certificados Clark, atendimento in loco, plano de revisões. Movemáquinas: +20 anos no mercado.",178,120,"Meta muito longa (178 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",3,⚠️ 3 issue(s)
aparecida-de-goiania-go/pecas-e-assistencia-empilhadeira/index.html,pecas,Aparecida Deiania,Peças para Empilhadeira em Aparecida de Goiânia | Assistência Clark | Movemáquinas,82,50,"Title muito longo (82 chars, ideal <70)","Peças originais Clark e assistência técnica para empilhadeira em Aparecida de Goiânia. Garfos, mastro, hidráulico, motor. Entrega rápida, técnicos certificados. Movemáquinas: +20 anos de mercado.",195,120,"Meta muito longa (195 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",4,⚠️ 4 issue(s)
author/marcio-lima/index.html,other,Author,Márcio Lima | Especialista em Locação de Equipamentos Industriais,65,50,✅,"Márcio Lima é Diretor Comercial da Move Máquinas, com mais de 20 anos de experiência em locação de empilhadeiras, plataformas elevatórias e equipamentos industriais no Centro-Oeste do Brasil.",191,120,"Meta muito longa (191 chars, ideal <160)",1,⚠️ 1 issue(s)
blog/alugar-ou-comprar/index.html,blog,Blog,Alugar ou Comprar Empilhadeira: Quando Vale Cada Opção | MoveMáquinas,69,50,✅,"Alugar ou comprar empilhadeira? Comparativo imparcial com dados reais: TCO de 24 meses, custos ocultos, cenários onde cada opção vence. Tabela lado a lado para decidir com segurança.",182,120,"Meta muito longa (182 chars, ideal <160)",1,⚠️ 1 issue(s)
blog/andaime-vilao-cronograma-obra/index.html,blog,Blog,Por que Andaime é o Maior Vilão do Cronograma da Sua Obra | MoveMáquinas,72,50,"Title muito longo (72 chars, ideal <70)",Descubra quantos dias por pavimento o ciclo monta-desmonta do andaime rouba do seu cronograma. Conta real com dados de canteiro e alternativas que não param a obra.,164,120,"Meta muito longa (164 chars, ideal <160)",2,⚠️ 2 issue(s)
blog/andaime-vs-plataforma-custo-real/index.html,blog,Blog,Andaime vs Plataforma Elevatória: Custo Real por Metro de Obra | MoveMáquinas,77,50,"Title muito longo (77 chars, ideal <70)","Comparativo com dados reais: custo por m² executado, breakdown de 6 linhas do andaime, cenário de 500 m² e 3 situações onde andaime ainda compensa.",147,120,✅,1,⚠️ 1 issue(s)
blog/index.html,blog,Move Maquinas Seo,Blog | Move Maquinas — Conteudo Tecnico sobre Equipamentos Industriais,70,50,✅,"Blog da Move Maquinas: guias, comparativos, cases e analises sobre empilhadeiras, plataformas elevatorias, transpaleteiras, pecas e normas NR-11.",145,120,✅,0,✅ OK
blog/plataforma-nr35-responsabilidade/index.html,blog,Blog,Trabalho em Altura e NR-35: O que o Engenheiro Precisa Garantir | MoveMáquinas,78,50,"Title muito longo (78 chars, ideal <70)","NR-35 na prática: checklist de inspeção, APR, Permissão de Trabalho e responsabilidades do engenheiro. Guia completo com procedimentos e soluções para trabalho em altura seguro.",177,120,"Meta muito longa (177 chars, ideal <160)",2,⚠️ 2 issue(s)
brasilia-df/aluguel-de-empilhadeira-combustao/index.html,aluguel,Brasilia,Locação de Empilhadeira a Combustão em Brasília-DF | Movemáquinas,65,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Empilhadeira Clark a combustão para locação em Brasília. L25, GTS, S-Series e C-Series de 2.000 a 8.000 kg. Atende galpões logísticos do SIA, CDs de atacadistas em Taguatinga e Ceilândia, construção civil e Polo JK. Entrega via BR-060, manutenção inclusa.",255,120,"Meta muito longa (255 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
brasilia-df/aluguel-de-plataforma-elevatoria-articulada/index.html,aluguel,Brasilia,Locação de Plataforma Articulada em Brasília-DF | Movemáquinas,62,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Plataforma articulada para locação em Brasília: 12 e 15 metros de alcance, diesel ou elétrica. Manutenção de edifícios governamentais na Esplanada, fachadas em Águas Claras e Asa Norte, galpões no SIA. Manutenção inclusa, entrega via BR-060. Valor sob consulta.",261,120,"Meta muito longa (261 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",4,⚠️ 4 issue(s)
brasilia-df/aluguel-de-plataforma-elevatoria-tesoura/index.html,aluguel,Brasilia,Locação de Plataforma Tesoura em Brasília-DF | Movemáquinas,59,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Plataforma elevatória tesoura para locação em Brasília-DF: modelos elétricos 8-10 m e diesel 12-15 m. Ideal para manutenção predial em shoppings como ParkShopping e Conjunto Nacional, edifícios comerciais do SIA e reformas em Águas Claras. Entrega via BR-060, manutenção inclusa.",279,120,"Meta muito longa (279 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
brasilia-df/aluguel-de-transpaleteira/index.html,aluguel,Brasilia,Locação de Transpaleteira Elétrica em Brasília-DF | Movemáquinas,64,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Transpaleteira elétrica Clark para locação em Brasília-DF. Modelos WPio15, PWio20, PPXs20, SWX16 e WPX35 com lítio 24V. Atendemos atacadistas do Atacadão, Assaí e Makro, CDs logísticos do SIA e indústria farmacêutica. Entrega via BR-060, manutenção inclusa.",257,120,"Meta muito longa (257 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
brasilia-df/curso-de-operador-de-empilhadeira/index.html,curso,Brasilia,Curso de Operador de Empilhadeira em Brasília-DF (NR-11) | Movemáquinas,71,50,"Title muito longo (71 chars, ideal <70); Marca 'Clark' ausente (recomendado para diferencial)","Curso NR-11 para operadores de empilhadeira em Brasília-DF. Treinamento teórico e prático com Clark, 22h de formação, certificado nacional. Atendemos CDs logísticos do SIA, obras de construção civil em Águas Claras e atacadistas. In Company no DF ou presencial na sede. +4.000 formados.",286,120,"Meta muito longa (286 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
brasilia-df/index.html,other,Move Maquinas Seo,Aluguel de Equipamentos em Brasília | Movemáquinas,50,50,✅,"Locação de empilhadeiras, plataformas elevatórias e transpaleteiras em Brasília, DF. Frota Clark, manutenção inclusa, entrega rápida. Movemáquinas.",147,120,✅,0,✅ OK
brasilia-df/manutencao-empilhadeira/index.html,manutencao,Brasilia,Manutenção de Empilhadeira em Brasília | Preventiva e Corretiva Clark | Movemáquinas,84,50,"Title muito longo (84 chars, ideal <70)","Manutenção preventiva e corretiva de empilhadeira em Brasília. Técnicos certificados Clark, atendimento in loco, plano de revisões. Movemáquinas: +20 anos no mercado.",166,120,"Meta muito longa (166 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",3,⚠️ 3 issue(s)
brasilia-df/pecas-e-assistencia-empilhadeira/index.html,pecas,Brasilia,Peças para Empilhadeira em Brasília | Assistência Clark | Movemáquinas,70,50,✅,"Peças originais Clark e assistência técnica para empilhadeira em Brasília. Garfos, mastro, hidráulico, motor. Entrega rápida, técnicos certificados. Movemáquinas: +20 anos de mercado.",183,120,"Meta muito longa (183 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",2,⚠️ 2 issue(s)
caldas-novas-go/aluguel-de-empilhadeira-combustao/index.html,aluguel,Caldas Novas,Locação de Empilhadeira a Combustão em Caldas Novas-GO | Movemáquinas,69,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Clark para Caldas Novas a combustão para locação em Caldas Novas valor sob consulta. Modelos L25, GTS, S-Series e C-Series de 2.000 a 8.000 kg. Ideal para canteiros de obras de hotéis e resorts, depósitos de materiais e distribuidoras. Manutenção inclusa, entrega via GO-139.",275,120,"Meta muito longa (275 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
caldas-novas-go/aluguel-de-plataforma-elevatoria-articulada/index.html,aluguel,Caldas Novas,Locação de Plataforma Articulada em Caldas Novas-GO | Movemáquinas,66,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Plataforma articulada para locação em Caldas Novas valor sob consulta. Manutenção de fachadas de hotéis e resorts, painéis em parques aquáticos e obras da expansão hoteleira. Modelos 12 e 15m, diesel ou elétrica. Entrega pela GO-139.",233,120,"Meta muito longa (233 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",4,⚠️ 4 issue(s)
caldas-novas-go/aluguel-de-plataforma-elevatoria-tesoura/index.html,aluguel,Caldas Novas,Plataforma Tesoura para Locação em Caldas Novas-GO | Movemáquinas,65,50,Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial),"Plataforma tesoura elétrica e diesel em Caldas Novas: silenciosa, zero emissão, perfeita para lobbies de resorts, áreas de piscina coberta e salões de eventos. Manutenção inclusa, entrega via GO-139. Movemáquinas.",213,120,"Meta muito longa (213 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
caldas-novas-go/aluguel-de-transpaleteira/index.html,aluguel,Caldas Novas,Transpaleteira Elétrica para Hotéis e Resorts em Caldas Novas | Movemáquinas,76,50,"Title muito longo (76 chars, ideal <70); Keyword 'aluguel/alugar' ausente; Marca 'Clark' ausente (recomendado para diferencial)","Locação de transpaleteira elétrica Clark em Caldas Novas. Modelos WPio15, PWio20, PPXs20, SWX16 e WPX35 com lítio 24V para almoxarifados de hotéis, cozinhas industriais de resorts e lavanderias do polo turístico. Manutenção inclusa, entrega pela GO-139.",253,120,"Meta muito longa (253 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",6,⚠️ 6 issue(s)
caldas-novas-go/curso-de-operador-de-empilhadeira/index.html,curso,Caldas Novas,Curso de Operador de Empilhadeira NR-11 em Caldas Novas-GO | Movemáquinas,73,50,"Title muito longo (73 chars, ideal <70); Marca 'Clark' ausente (recomendado para diferencial)","Treinamento NR-11 para operadores de empilhadeira em Caldas Novas. Formação prática com Clark voltada ao 106 hotéis, parques aquáticos e canteiros de construção de novos resorts no principal destino turístico de Goiás. 22h, certificado nacional válido 2 anos. Turmas presenciais e In Company nas indústrias da GO-139.",317,120,"Meta muito longa (317 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",5,⚠️ 5 issue(s)
caldas-novas-go/index.html,other,Move Maquinas Seo,Aluguel de Equipamentos em Caldas Novas | Movemáquinas,54,50,✅,"Locação de empilhadeiras, plataformas elevatórias e transpaleteiras em Caldas Novas, GO. Frota Clark, manutenção inclusa, entrega rápida. Movemáquinas.",151,120,✅,0,✅ OK
caldas-novas-go/manutencao-empilhadeira/index.html,manutencao,Caldas Novas,Manutenção de Empilhadeira em Caldas Novas | Preventiva e Corretiva Clark | Movemáquinas,88,50,"Title muito longo (88 chars, ideal <70)","Manutenção preventiva e corretiva de empilhadeira em Caldas Novas. Técnicos certificados Clark, atendimento in loco, plano de revisões. Movemáquinas: +20 anos no mercado.",170,120,"Meta muito longa (170 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.)",3,⚠️ 3 issue(s)
caldas-novas-go/pecas-e-assistencia-empilhadeira/index.html,pecas,Caldas Novas,Peças para Empilhadeira em Caldas Novas | Assistência Clark | Movemáquinas,74,50,"Title muito longo (74 chars, ideal <70)","Peças originais Clark e assistência técnica para empilhadeira em Caldas Novas. Garfos, mastro, hidráulico, motor. Entrega rápida, técnicos certificados. Movemáquinas: +20 anos de mercado.",187,120,"Meta muito longa (187 chars, ideal <160); CTA ausente na parte mobile (adicione: chamar, solicitar, etc.); Diferencial ausente na parte mobile",4,⚠️ 4 issue(s)
cidades-atendidas/index.html,other,Move Maquinas Seo,"Cidades Atendidas | Movemáquinas, Empilhadeiras GO",50,50,✅,"Veja as cidades atendidas pela Movemáquinas. Locação de empilhadeiras e plataformas elevatórias em mais de 60 municípios de Goiás, Distrito Federal e Tocantins.",160,120,✅,0,✅ OK
contato/index.html,other,Move Maquinas Seo,"Contato | Movemáquinas, Empilhadeiras em Goiânia GO",51,50,✅,"Fale com a Movemáquinas por WhatsApp, telefone ou formulário. Atendimento em Goiânia para locação de empilhadeiras, plataformas elevatórias e transpaleteiras.",158,120,✅,0,✅ OK
cookies/index.html,other,Move Maquinas Seo,Politica de Cookies | Move Maquinas,35,35,✅,"Saiba quais cookies o site Move Maquinas utiliza, para que servem e como gerencia-los no seu navegador.",103,103,✅,0,✅ OK
